iter	Passed	Remaining
0	162	162143
1	170	85139
2	180	59965
3	191	47805
4	203	40510
5	211	35020
6	219	31157
7	229	28431
8	237	26173
9	248	24619
10	258	23229
11	266	21945
12	276	20983
13	286	20150
14	294	19312
15	304	18720
16	314	18168
17	323	17657
18	333	17210
19	341	16740
20	350	16350
21	360	16015
22	368	15648
23	378	15410
24	388	15159
25	396	14864
26	406	14639
27	414	14380
28	422	14160
29	432	13988
30	441	13789
31	450	13631
32	461	13516
33	470	13360
34	480	13241
35	489	13112
36	498	12967
37	508	12874
38	520	12827
39	528	12678
40	539	12618
41	549	12537
42	559	12441
43	570	12400
44	582	12368
45	593	12306
46	601	12194
47	611	12130
48	619	12017
49	627	11920
50	637	11864
51	646	11788
52	655	11705
53	665	11662
54	673	11570
55	685	11548
56	694	11496
57	703	11427
58	712	11363
59	723	11334
60	731	11258
61	740	11197
62	750	11168
63	758	11098
64	768	11057
65	777	11004
66	785	10943
67	796	10914
68	804	10856
69	812	10800
70	823	10770
71	831	10710
72	841	10682
73	851	10658
74	859	10599
75	870	10578
76	880	10549
77	888	10500
78	898	10472
79	906	10429
80	915	10382
81	924	10351
82	929	10268
83	939	10248
84	948	10206
85	957	10179
86	967	10153
87	976	10116
88	986	10101
89	997	10083
90	1008	10072
91	1023	10105
92	1033	10083
93	1043	10061
94	1055	10055
95	1064	10022
96	1077	10030
97	1089	10030
98	1101	10022
99	1120	10081
100	1134	10096
101	1142	10058
102	1153	10041
103	1163	10023
104	1171	9987
105	1182	9969
106	1192	9954
107	1201	9923
108	1212	9908
109	1223	9896
110	1231	9860
111	1242	9851
112	1254	9843
113	1262	9813
114	1273	9801
115	1284	9788
116	1291	9743
117	1301	9727
118	1312	9713
119	1320	9682
120	1331	9669
121	1337	9628
122	1346	9601
123	1357	9588
124	1365	9558
125	1374	9532
126	1382	9506
127	1391	9477
128	1402	9467
129	1412	9449
130	1419	9419
131	1430	9407
132	1440	9388
133	1450	9371
134	1460	9360
135	1471	9349
136	1479	9321
137	1490	9309
138	1500	9295
139	1509	9272
140	1520	9262
141	1525	9220
142	1533	9192
143	1544	9183
